gaze3d_x,gaze3d_y,gaze3d_z
-24.84398687460897,3.066950086027628,0.5555616037365112
-24.75752662487044,3.092615260005774,0.5232196057503935
-24.759610083604425,3.0922949136373323,0.5363474212979948
-24.767101114617823,3.089489571074954,0.5252907881282921
-24.76856521858702,3.0886805122642897,0.5342141954685211
-24.771559159902083,3.083942011923985,0.5332502545408908
-24.772704187640354,3.08166069215075,0.538625621116914
-24.777993466371193,3.0801124269370637,0.5281146393667828
-24.77862554701789,3.07982987380829,0.5325780442156165
-24.777781394874005,3.0733483139791336,0.5335912760084116
-24.76155705527348,3.030370340294377,0.5592610516298138
-24.63896483697955,2.9831896577325527,0.6533345041512651
-24.745273565555642,3.023127263720656,0.6282701376005221
-24.740078894739845,3.0104665249165397,0.6259693727931714
-24.731696320993393,3.0027905705341307,0.6362569576494634
-24.72322138540901,2.995873842309157,0.6259649324263433
-24.720434426934478,3.006272924554512,0.5960520103513115
-24.71485981255864,3.013952096429806,0.5911244343831812
-24.712203806145705,3.015477684744394,0.5770969338919143
-24.70809670586198,3.003043296056562,0.58070466457053
-24.720049626518044,3.0407312393872967,0.6632815409596369
-24.732967861582846,3.0799765098924716,0.643582392077057
-24.723221234928783,3.0528011060652855,0.7415476649602355
-24.73428131551481,3.0953717370460962,0.6222611822181836
-24.74773470568774,3.108881881348706,0.5744639432914935
-24.743518754692623,3.088879470160081,0.5707783938226847
-22.899835422360056,2.5918108945419176,0.07937489538935516
-22.887337842292155,2.5401972238247716,0.21352963153443894
-15.63823288614422,2.356527096026084,-1.3213261546834794
-23.0111270037674,2.4242068407496005,0.2537148905499264
-15.75993969823288,2.0817850837574206,-1.2877488641982433
-15.884293713304382,2.209474941503757,-1.4220999285930582
-24.53239121580841,2.9360985296579583,0.5593318229330125
-24.532736753000382,2.9294786745708423,0.5721103087046389
-24.63010653698271,2.949886425170732,0.594837940673816
-24.626351867901594,2.9854938558487882,0.6280272471488644
-24.725373890094268,3.0120566041242727,0.6607269945026895
-19.99433442063065,2.441659208807939,0.013618431062656033
-20.227015893379065,2.160856240433087,0.06854919860064856
-24.62333149252928,2.974524626115088,0.7185874586724498
-14.02443553436123,1.799391956183521,-0.23829269195043756
-20.088618244157104,1.8346307501870007,0.0281353534794494
-19.780965323585985,1.647877811824589,0.4691221536801565
-19.957495407359367,1.8581516117883392,0.2040729439243033
-19.732305234045704,1.4784448852758787,0.21710760527912532
-20.2369386789382,2.070228753907449,0.07463666343694764
-19.64931872197934,1.4676980001823043,0.016610407247320436
-14.287253936520246,-0.40318480487367836,-0.5945238554081762
-20.0320717602986,1.9220494220770274,0.3214715447357107
-22.155174609701405,1.7511404684805703,0.3068827271071189
-14.488908274032253,-0.7499464042939632,-0.4802267316790636
-14.499661647932903,-0.7363639950135177,-0.6088201599556106
-21.943842270235663,1.74540498093459,0.3071626808785743
-14.186451200516144,-0.49353318820264436,-0.3809840133203122
-22.094678795938357,1.5988452443314782,0.42231680007622113
-22.086940490788304,1.630780612379576,0.379300710943874
-22.232407234904418,1.5448495169138923,0.37375025693721636
-22.08913565524565,1.6296979145277004,0.36611067032771244
-14.29645626576856,-0.4952383641356528,-0.4179058255587721
-22.221037951692345,1.5435599047358226,0.478209523149743
-22.210388682740426,1.5785872305644528,0.4200645752125618
-22.059989855555973,1.7111301573954663,0.3212275238536142
-22.2404950238071,1.512740889622085,0.39702134707806497
-24.63458292061441,2.9878141552305038,0.6213178511563076
-24.63603977766262,2.98029670979916,0.6351404482300624
-24.637067148975248,2.9812442621940716,0.6638065786052371
-24.63678888644653,2.9770989768756944,0.7021247174659604
-24.638708032449465,2.984240361972047,0.7292422092272658
-24.641502592920475,2.9858222420250193,0.7612444814559401
-24.642145275627566,2.9841598059414833,0.7568738187107447
-24.643817392915025,2.97748457561329,0.7621712805478056
-24.644942541130355,2.978986342015658,0.7548804088779472
-24.64599875497754,2.958379638919691,0.6488156500431222
-24.650419078594464,2.9610809144811183,0.6159851637362466
-24.65132964046841,2.9598718720888986,0.6133136846177429
-24.6518409126195,2.9591385971991047,0.6123390697281251
-24.65179718718124,2.9609535850904627,0.6160250437635586
-24.65091386375676,2.962774492712949,0.625881734336907
-24.651669753325166,2.9585181131553426,0.619548104952643
-24.653206614850337,2.9535207406638486,0.6086671343202251
-24.647698621276664,2.9618668245654756,0.6883552500880962
-24.54749702476443,2.9593439321370476,0.6905055929546121
-24.547331922732166,2.9541932457535722,0.7011383393936718
-24.547590856211837,2.948477287814391,0.7071404968253067
-24.547639497643267,2.9410197417678745,0.7154995604793558
-12.349786186213041,2.9054117353204174,0.9419307184545225
-12.25023255726083,2.877352363719684,0.955389805986236
-12.350741969488764,2.8678361146982536,0.9776814635724393
-12.048961892829515,2.817092487910565,0.8316736408467799
-19.910060143802493,2.132449849304194,0.8939721344294178
-20.946469371507042,2.041079669762723,0.9802000258341421
-20.85466826841928,1.9878754356307569,0.9568375641087936
-19.886448288031538,1.7249747817069427,0.9287880165942031
-19.802028689265935,1.659228919122993,0.9968345048106467
-20.889511623967653,1.8470736241523373,0.9914966422646938
-19.724064425648777,1.5660345392205897,1.0333002259147297
-21.369284959376245,1.6805665459698156,1.1795535861400337
-20.014568595658663,0.9396620081591045,2.25095447933739
-20.02098969463627,0.8777727808062838,2.181178430393486
-20.031278773327887,0.9194381727118885,2.261830590848215
-20.132677079870298,0.9897060383825256,2.3055823966198434
-20.004019564013568,0.9825339777471231,2.2191887231516305
-20.01633514631041,0.8824141788317328,2.1154612406500437
-20.015808216595783,0.8990203809398654,2.1260957833028145
-20.012768654648085,0.9303291953481789,2.1483336034039047
-20.871600241903092,1.3364054129944323,1.7879383766426007
-20.87852598818279,1.3127573726238415,1.775284505375949
-20.208891910070854,1.1562968431653247,2.3214186848350282
-19.86914569546454,0.9460835109742138,4.366135440483574
-19.919347131496206,1.0664274731526853,4.677492708050208
-19.969574740378782,1.0705743570758501,4.564215568633234
-19.867702248243546,1.0532189495423085,4.76146648310246
-18.208494812647377,0.5430760796490577,6.108446804467601
-19.043879482562833,0.9382838053384406,5.657278164314075
-20.448775050436588,1.4213227085138054,4.455809101387146
-20.432568468141874,1.4320515003574177,4.2518259179031865
-20.529864537204592,1.4796169561975394,4.221802908406486
-20.490467852364134,1.4665494821346041,4.152547427277205
-20.403401539830906,1.4111685498043778,4.179294327282863
-19.839768232174595,1.2038785896971018,4.35253972458493
-19.99467217962324,1.8952305758987924,2.988804886870664
-20.550406912126242,2.797559973808361,1.697575507764841
-24.651862508819733,2.9742242803767667,0.8146803359024464
-24.742927584437506,3.025580287143391,0.6808313567337863
-24.732929023428184,3.0432730843109854,0.6543396629227538
-24.718601825335515,3.0615555234348304,0.6763261812163726
-24.70379519799247,3.011295892559165,0.6165550713264127
-24.693588018216406,3.0303366311733706,0.6587867854933107
-24.701753692976812,3.018106597833446,0.5736429545146082
-24.692909214085784,3.036991682665213,0.6224260654596897
-24.685562316228513,2.9810296811806434,0.6129909455865227
-24.686500216810863,3.0156040332786263,0.6304334182911298
-24.777313901242426,3.0406619192494975,0.6503124495753266
-24.673378530132013,3.022326078871387,0.6153742908280301
-24.794108363872247,3.070967138325799,0.5581578173981048
-24.811640236526564,3.139676008105966,0.5503825916683815
-24.821003876055034,3.1193742321706925,0.49523629241326445
-24.808142664550996,3.1331966046612374,0.5359570455454369
